Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,55,135,155,83,86,72,72,1,1,89610,72072
ft10.txt,1063,1102,1151,1188,2399,2658,1698,1701,200,200,34,27,249992,200200
ft20.txt,1342,1413,1437,1480,2784,3129,2022,2033,200,200,34,27,249958,200200
la01.txt,666,666,666,667,1622,1823,1007,989,100,100,4,3,124679,100100
la02.txt,672,704,704,734,1566,1740,1035,1061,100,100,4,3,124853,100100
la03.txt,617,638,644,676,1612,1633,963,974,100,100,4,3,124794,100100
la04.txt,607,624,621,635,1565,1703,930,952,100,100,4,4,124826,100100
la05.txt,593,593,593,593,1416,1549,762,802,100,100,4,3,124662,100100
la06.txt,926,926,934,936,1985,2279,1333,1325,150,150,14,11,186748,150150
la07.txt,894,919,927,946,2046,2201,1356,1368,150,150,15,12,186793,150150
la08.txt,863,875,880,905,2013,2271,1334,1347,150,150,15,12,186702,150150
la09.txt,951,951,956,968,2076,2346,1373,1387,150,150,15,12,186834,150150
la10.txt,958,958,958,958,2026,2246,1282,1225,150,150,15,12,186790,150150
la11.txt,1222,1231,1235,1271,2479,2930,1720,1740,200,200,34,27,249921,200200
la12.txt,1039,1039,1041,1061,2245,2443,1514,1526,200,200,34,27,250174,200200
la13.txt,1150,1150,1157,1163,2405,2705,1666,1668,200,200,34,27,249881,200200
la14.txt,1292,1292,1292,1292,2449,2920,1713,1725,200,200,34,27,249905,200200
la15.txt,1308,1311,1352,1386,2672,2987,1849,1867,200,200,34,27,250158,200200
