Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,58,58,138,151,63,63,72,72,1,1,89591,72072
ft10.txt,1187,1186,1241,1225,2340,2609,1332,1342,200,200,33,26,249752,200200
ft20.txt,1495,1517,1564,1545,2845,2990,1662,1674,200,200,34,27,249825,200200
la01.txt,696,692,729,715,1510,1739,788,785,100,100,4,3,124632,100100
la02.txt,713,752,769,766,1529,1742,826,829,100,100,4,3,124658,100100
la03.txt,677,654,704,695,1466,1565,754,755,100,100,4,3,124617,100100
la04.txt,647,661,670,693,1577,1705,735,758,100,100,4,3,124605,100100
la05.txt,593,593,593,594,1346,1508,644,648,100,100,4,3,124682,100100
la06.txt,951,926,982,976,1902,2167,1057,1059,150,150,14,12,186744,150150
la07.txt,974,935,1019,1023,1983,2104,1092,1100,150,150,14,11,186826,150150
la08.txt,938,920,957,964,1931,2194,1035,1051,150,150,15,12,186675,150150
la09.txt,971,986,1014,1014,2110,2296,1094,1097,150,150,15,12,186712,150150
la10.txt,958,958,965,977,2066,2159,1039,1056,150,150,15,12,186766,150150
la11.txt,1269,1260,1290,1312,2420,2717,1378,1411,200,200,34,27,249709,200200
la12.txt,1076,1070,1125,1121,2205,2450,1205,1211,200,200,34,27,249874,200200
la13.txt,1210,1212,1250,1244,2340,2651,1336,1334,200,200,34,27,249886,200200
la14.txt,1292,1292,1292,1292,2437,2672,1377,1382,200,200,34,27,249795,200200
la15.txt,1378,1391,1459,1461,2570,2768,1544,1546,200,200,34,27,249803,200200
